,nsga3_adaptation,custom_adaptation,anchors_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,nsga3_score,custom_score,anchors_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],nsga3_time,custom_time,anchors_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom,iterations_anchors
0,"[71.95886378 14.42529176 18.75979767 11.5913     26.         17.4864
 24.0611     79.1389      1.        ]","[79.0358899  79.97231515 52.81099091 11.5913     26.         17.4864
 24.0611     79.1389      1.        ]",[ 4.4942 73.8541 45.3971 11.5913 26.     17.4864 24.0611 79.1389  1.    ],[0.80427235],[0.80026306],[[0.95816946]],0.7959125811476342,0.4875086127946128,0.2841433333333334,-0.3084039683530214,-0.20336527946127936,-0.5117692478143008,-0.3874847259083789,-0.41715217767230933,-0.6429968063532501,1.1061034202575684,0.29831600189208984,0.007142782211303711,3.707824633080462,154.85610334123302,41.764678393804864,0
1,"[27.11179164 98.40205672 96.76191793 53.0146     25.         80.1623
 22.736      59.8891      0.        ]","[27.24882727 97.97231515 96.96117273 53.0146     25.         80.1623
 22.736      59.8891      0.        ]","[ 50.4552 100.      96.078   53.0146  25.      80.1623  22.736   59.8891
   0.    ]",[0.34032313],[0.34032313],[0.2694365],0.10649272329531811,0.10771779797979797,0.18125733333333305,0.0012250746844798543,0.07353953535353508,0.07476461003801493,0.01150383469002444,0.6827055206543223,0.7020630867959211,0.7176368236541748,0.07115960121154785,0.1016378402709961,10.084891025748412,7.060724841660802,0.700129017124091,1002
2,"[60.24781776 13.9764896  16.06769383 84.2856     70.          4.8745
 45.0694     75.2252      1.        ]","[89.0358899  58.97231515 43.96117273 84.2856     70.          4.8745
 45.0694     75.2252      1.        ]",[11.6912 48.5824 41.4127 84.2856 70.      4.8745 45.0694 75.2252  1.    ],[0.81328852],[0.80086032],[[0.95189934]],0.7673454477521995,0.6203413400673401,0.4056536666666667,-0.1470041076848594,-0.2146876734006734,-0.3616917810855328,-0.19157487428312958,-0.34607990719652565,-0.4713545667665637,1.3783814907073975,0.9018900394439697,0.003991127014160156,1.5283254392710586,345.3614695340502,225.97377538829153,0
3,"[19.54294811 58.13589273 97.00199891 35.8731     44.         52.2195
 27.4524     59.7234      0.        ]","[27.24882727 53.55244848 96.96117273 35.8731     44.         52.2195
 27.4524     59.7234      0.        ]","[ 37.9876 100.      99.6378  35.8731  44.      52.2195  27.4524  59.7234
   0.    ]",[0.74113367],[0.74113367],[[0.73399412]],0.21468352158258286,0.2557840202020202,0.1278326666666667,0.04110049861943732,-0.12795135353535347,-0.08685085491591615,0.1914469183123917,-0.5002320060271808,-0.4045529637099185,0.6248371601104736,0.1254713535308838,0.043680667877197266,4.9799188621702,14.304661317613668,2.872468751705693,156
4,"[60.20426613 13.80156082 22.78363222 39.5348     99.         77.1167
  9.5332     52.1115      1.        ]","[71.24882727 40.97231515 33.97619091 39.5348     99.         77.1167
  9.5332     52.1115      1.        ]",[41.7297 43.3672 43.8233 39.5348 99.     77.1167  9.5332 52.1115  1.    ],[0.80178413],[0.81446993],[[0.88639667]],0.745396910297707,0.654334404040404,0.5151306666666666,-0.09106250625730306,-0.13920373737373737,-0.23026624363104042,-0.12216646594487927,-0.21274097237464193,-0.308917625562834,1.1088330745697021,0.7426385879516602,0.00610041618347168,1.4930991905875464,181.76351272130378,121.73572517293938,0
5,"[89.03264159 13.85338892 18.54320961 11.2155     56.         19.8561
 92.9561      3.898       1.        ]","[88.24882727 53.55244848 33.96117273 11.2155     56.         19.8561
 92.9561      3.898       1.        ]",[32.2803 20.3451 19.7817 11.2155 56.     19.8561 92.9561  3.898   1.    ],[0.80202263],[0.80728282],[[0.93518271]],0.8554534768820176,0.6691173535353535,0.6405116666666666,-0.18633612334666405,-0.02860568686868692,-0.21494181021535097,-0.2178214577206788,-0.04275137495320618,-0.2512606658620143,1.1952612400054932,0.5629005432128906,0.004531145095825195,2.1233968494385373,263.78789792159955,124.22920284135753,0
6,"[60.02968958 13.87980444 11.77778209 71.723      85.         59.8164
 66.3091     45.7969      1.        ]","[88.24882727 30.56199091 43.81099091 71.723      85.         59.8164
 66.3091     45.7969      1.        ]",[68.2054 95.2562 51.7177 71.723  85.     59.8164 66.3091 45.7969  1.    ],[0.8130177],[0.80670574],[[0.96188974]],0.7812403434635303,0.7129194848484848,0.40410499999999994,-0.06832085861504555,-0.30881448484848484,-0.3771353434635304,-0.08745177996332558,-0.43316880995911694,-0.4827392064669222,1.3049781322479248,0.6468348503112793,0.0040743350982666016,2.0174827185330604,320.29229328808003,158.75838258528879,0
7,"[59.9142953  97.4666471  97.35988528 64.0097     90.         76.9651
 93.9879     23.2153      0.        ]","[27.24882727 53.56199091 90.91611818 64.0097     90.         76.9651
 93.9879     23.2153      0.        ]",[35.5531 99.66   54.9985 64.0097 90.     76.9651 93.9879 23.2153  0.    ],[0.54578114],[0.5454085],[[0.50550477]],0.21695920974720306,0.27590239393939386,0.269648666666667,0.0589431841921908,-0.006253727272726883,0.05268945691946392,0.2716786453125006,-0.02266644802690842,0.2428542073915955,0.6292710304260254,0.12095427513122559,0.10430192947387695,5.202553028764939,6.033167685393875,1.159655202366312,1002
8,"[38.11362369 52.84261789 95.97749346 30.6188     47.         26.9452
 51.2245     39.7058      0.        ]","[37.24882727 53.55244848 96.96117273 30.6188     47.         26.9452
 51.2245     39.7058      0.        ]",[23.6721 91.4021 98.123  30.6188 47.     26.9452 51.2245 39.7058  0.    ],[0.8039802],[0.8039802],[[0.80972828]],0.29764504114551205,0.2891173535353535,0.1138233333333335,-0.00852768761015854,-0.17529402020202,-0.18382170781217855,-0.028650528083179267,-0.6063075012914606,-0.6175869992818466,1.2235360145568848,0.18117666244506836,0.02967977523803711,6.753276045847534,41.22457143775203,6.104381215558376,132
9,"[19.54294811 58.13589273 97.00199891 50.7318     72.         81.4201
 82.3046     27.0352      0.        ]","[27.24882727 53.56199091 90.91611818 50.7318     72.         81.4201
 82.3046     27.0352      0.        ]",[65.8574 97.865  94.889  50.7318 72.     81.4201 82.3046 27.0352  0.    ],[0.44930177],[0.44930177],[[0.33876283]],0.21468352158258286,0.27590239393939386,0.24367799999999984,0.061218872356811005,-0.032224393939394025,0.02899447841741698,0.28515869269110056,-0.1167963549691874,0.13505684182781397,0.5776240825653076,0.1303081512451172,0.16424298286437988,4.432754797347736,3.5168874340419665,0.7933864142781452,1002
10,"[ 0.64313153 98.46142948 96.85855645 77.7837     42.         67.7128
 36.8217     79.4941      0.        ]","[ 1.0358899  97.97231515 96.96117273 77.7837     42.         67.7128
 36.8217     79.4941      0.        ]",[27.3831 98.3572 98.5276 77.7837 42.     67.7128 36.8217 79.4941  0.    ],[0.61141482],[0.61141482],[0.57326994],0.017743818682730006,0.02034134006734012,0.10166099999999989,0.002597521384610113,0.08131965993265977,0.08391718131726988,0.14639021233564967,3.997753327138261,4.72937549789923,0.5640444755554199,0.04366660118103027,0.012967586517333984,12.917068429874803,43.49648832505975,3.3673653245081816,54
11,"[27.9183679  46.40811464 95.61477022 57.9443      6.         57.121
 59.1752     17.1823      0.        ]","[37.33072626 42.44748182 90.91611818 57.9443      6.         57.121
 59.1752     17.1823      0.        ]","[ 34.1703 100.      97.6774  57.9443   6.      57.121   59.1752  17.1823
   0.    ]",[0.43640728],[0.43640728],[[0.42196895]],0.28631827681456345,0.3465570875420876,0.12164300000000006,0.06023881072752413,-0.22491408754208753,-0.1646752768145634,0.21039107736226814,-0.6489957805718599,-0.5751476246876716,0.7843115329742432,0.0711064338684082,0.13809514045715332,11.030106423642545,5.6795013233473695,0.5149090231054897,1002
