,nsga3_adaptation,custom_adaptation,anchors_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,nsga3_score,custom_score,anchors_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],nsga3_time,custom_time,anchors_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom,iterations_anchors
0,"[ 0.88050035 75.70411343 39.64709305 56.0067     39.         77.1984
 84.8851     87.3155      0.        ]","[10.10325859 99.9914     40.40673131 56.0067     39.         77.1984
 84.8851     87.3155      0.        ]","[  9.848  100.     100.      56.0067  39.      77.1984  84.8851  87.3155
   0.    ]",[0.81813474],[0.73882625],[[0.73882625]],0.285097646257112,0.23235042424242425,0.03282666666666667,-0.052747222014687734,-0.19952375757575758,-0.2522709795904453,-0.18501458257259082,-0.8587191446983683,-0.8848581631674983,0.9737570285797119,0.03715920448303223,0.08062982559204102,26.20500202108343,12.076883726706605,0.46086177428988784,504
1,"[16.54449871 55.59265998 39.65593099 94.602      27.         61.2247
 58.3342     36.4653      0.        ]","[10.10325859 88.88438889 40.40673131 94.602      27.         61.2247
 58.3342     36.4653      0.        ]",[24.703  77.2118 33.6065 94.602  27.     61.2247 58.3342 36.4653  0.    ],[0.81568255],[0.78944199],[[0.68400128]],0.40431969244633215,0.26937379461279465,0.3796156666666666,-0.1349458978335375,0.11024187205387193,-0.024704025779665573,-0.33376038900566213,0.4092524004138437,-0.06110022895544394,1.0999345779418945,0.07509040832519531,0.1387794017791748,14.648136858949936,7.9257769081041705,0.541077475205426,1002
2,"[ 0.87861661 25.21100306 39.64583989 55.2701     48.          4.4584
 79.6079     35.6638      0.        ]","[10.10325859 88.88438889 40.40673131 55.2701     48.          4.4584
 79.6079     35.6638      0.        ]","[ 22.755  100.     100.      55.2701  48.       4.4584  79.6079  35.6638
   0.    ]",[0.82585601],[0.7602208],[[0.72583193]],0.45340591219312787,0.26937379461279465,0.07584999999999997,-0.18403211758033322,-0.19352379461279468,-0.3775559121931279,-0.4058882176682886,-0.7184210137848455,-0.8327106066325581,0.9377844333648682,0.11671853065490723,0.0554499626159668,8.034580525499793,16.912264483562222,2.1049343434777747,1002
3,"[ 0.87260619 99.96994395 99.98905982 62.7395     41.         27.4842
 66.4937     84.6912      1.        ]","[24.24306061 99.9914     99.9925     62.7395     41.         27.4842
 66.4937     84.6912      1.        ]","[ 24.     100.     100.      62.7395  41.      27.4842  66.4937  84.6912
   1.    ]",[0.68487977],[0.59395349],[0.59395349],0.003045341405987778,0.08086386868686868,0.07999999999999996,0.0778185272808809,-0.0008638686868687184,0.07695465859401218,25.553301553603614,-0.01068299972406589,25.269632640433425,0.6480655670166016,0.10018515586853027,0.08324766159057617,6.468678532247202,7.784790042558554,1.2034590996832453,1002
4,"[ 0.88035943 99.98716577 78.06011286 90.4678     50.         24.2796
 66.3872     53.8746      1.        ]",[24.5347 99.9914 42.943  90.4678 50.     24.2796 66.3872 53.8746  1.    ],"[ 22.6997  81.503  100.      90.4678  50.      24.2796  66.3872  53.8746
   1.    ]",[0.60950702],[0.49598997],[[0.39358806]],0.07611026936920495,0.27200100000000005,0.1373223333333332,0.1958907306307951,-0.13467866666666684,0.06121206396412826,2.5737752901720072,-0.49514033649386147,0.8042549904427921,0.5875058174133301,0.03097844123840332,0.1284012794494629,18.964989648511157,4.575544885006889,0.24126271460243542,1002
5,"[ 0.87381059 99.88668118 99.96625131 81.4813     59.         17.0169
 50.942      87.7398      1.        ]","[3.40000e-03 9.99914e+01 9.99925e+01 8.14813e+01 5.90000e+01 1.70169e+01
 5.09420e+01 8.77398e+01 1.00000e+00]","[ 22.755   76.4903 100.      81.4813  59.      17.0169  50.942   87.7398
   1.    ]",[0.6890304],[0.62890456],[0.4866502],0.0034029269964025444,6.499999999998174e-05,0.15421566666666675,-0.0033379269964025626,0.15415066666666677,0.1508127396702642,-0.9808987968097178,2371.5487179493857,44.31853514039477,0.5708370208740234,0.009329080581665039,0.09836721420288086,61.18899026297631,5.80312277316994,0.0948393289091623,1002
6,"[26.67841175 85.3252517  39.78514699 83.6282     82.         60.1713
 91.3736     87.5405      0.        ]","[24.24306061 88.9914     39.71450808 83.6282     82.         60.1713
 91.3736     87.5405      0.        ]","[ 22.755   80.775  100.      83.6282  82.      60.1713  91.3736  87.5405
   0.    ]",[0.8094151],[0.67822332],[[0.6672408]],0.33856004354004354,0.31845717508417504,0.13993333333333335,-0.020102868455868506,-0.17852384175084168,-0.1986267102067102,-0.05937755750994526,-0.560589792657848,-0.5866808975147636,0.754457950592041,0.19725680351257324,0.09151649475097656,3.824749956185676,8.24395594089327,2.1554235009691336,1002
7,"[55.40265153 82.96979472 39.64952488 68.4481     92.         90.9833
 44.2826     63.6043      0.        ]","[10.10325859 99.9914     40.40673131 68.4481     92.         90.9833
 44.2826     63.6043      0.        ]","[ 49.5896 100.     100.      68.4481  92.      90.9833  44.2826  63.6043
   0.    ]",[0.84810154],[0.70043529],[[0.61410388]],0.44261110640936985,0.23235042424242425,0.1652986666666666,-0.2102606821669456,-0.06705175757575765,-0.27731243974270325,-0.4750461050845752,-0.28858031051322197,-0.6265374630843938,0.9226548671722412,0.028730392456054688,0.05495953559875488,32.1142451702848,16.78789416832598,0.5227553716211819,1002
8,"[ 0.13889877 54.90235968 28.64444254 71.2328      6.          4.1116
 74.4987     25.5534      1.        ]","[3.40000000e-03 9.99914000e+01 7.17145081e+01 7.12328000e+01
 6.00000000e+00 4.11160000e+00 7.44987000e+01 2.55534000e+01
 1.00000000e+00]",[47.792  65.635  98.0289 71.2328  6.      4.1116 74.4987 25.5534  1.    ],[0.80441551],[0.78217804],[0.12802143],0.3886403218054375,0.09432497306397314,0.2804270000000001,-0.29431534874146437,0.18610202693602695,-0.10821332180543741,-0.757294938863306,1.9729878619717043,-0.2784407992015083,1.0864849090576172,0.03684592247009277,0.1394364833831787,29.487249503374464,7.791970097753399,0.26424879325763156,1002
9,"[ 0.10842461 99.99635176 35.29884897 29.2613     21.         61.9747
 25.8511     16.7073      0.        ]","[3.4000000e-03 9.9991400e+01 3.9396803e+01 2.9261300e+01 2.1000000e+01
 6.1974700e+01 2.5851100e+01 1.6707300e+01 0.0000000e+00]",[25.245  81.6994 94.063  29.2613 21.     61.9747 25.8511 16.7073  0.    ],[0.77883314],[0.71359058],[[0.27138309]],0.21604407959451943,0.20205065656565657,0.16494199999999992,-0.013993423028862861,-0.03710865656565665,-0.05110207959451951,-0.06477114788392398,-0.18366016323039344,-0.236535431521336,0.5986528396606445,0.00878763198852539,0.11630463600158691,68.12447772532421,5.147282690025153,0.07555702240799315,1002
