,nsga3_adaptation,custom_adaptation,anchors_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,nsga3_score,custom_score,anchors_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],nsga3_time,custom_time,anchors_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom
13,"[ 3.93704038 99.39768155 94.55833672 95.42       59.         66.5852
 94.483      61.0055      0.        ]","[ 5.365      59.118      98.97619091 95.42       59.         66.5852
 94.483      61.0055      0.        ]",[ 0.     43.174  59.7305 95.42   59.     66.5852 94.483  61.0055  0.    ],[0.63505127 0.92       0.11506947 0.19      ],[0.67100103 0.99       0.0722248  0.09      ],[0.64362953 0.82       0.02561943 0.13      ],0.033270073706738734,0.15756936363636354,0.32365166666666667,0.1242992899296248,0.16608230303030314,0.29038159295992794,3.73606896772364,1.054026615310738,8.72801171165161,4.914641380310059,0.26853513717651367,1.4535636901855469,18.301669688311826,3.3810980650477767,0.1847426012287327
14,"[28.19420181 99.56459827 99.03066941 97.064      29.         30.0335
 94.1654     44.1248      0.        ]","[ 4.0604596  99.9914     92.95366364 97.064      29.         30.0335
 94.1654     44.1248      0.        ]",[ 0.     44.3864 80.027  97.064  29.     30.0335 94.1654 44.1248  0.    ],[0.74437219 0.87       0.35998369 0.11      ],[0.73824406 0.92       0.17510967 0.15      ],[0.73290228 0.79       0.03963761 0.18      ],0.09866311378159864,0.03705131986531984,0.2519553333333332,-0.0616117939162788,0.21490401346801336,0.15329221955173455,-0.6244663436495943,5.800171606549547,1.553693307217764,5.692332029342651,0.4726412296295166,1.5657429695129395,12.043663718894411,3.635546919372969,0.3018638683567218
15,"[ 0.89972443 85.06745956 98.97691896 74.4967     66.         66.1611
 27.3613     58.0927      0.        ]","[12.12597879 83.83872121 92.93113636 74.4967     66.         66.1611
 27.3613     58.0927      0.        ]",[57.     99.7536 97.7599 74.4967 66.     66.1611 27.3613 58.0927  0.    ],[0.62971392 0.98       0.34103798 0.48      ],[0.60565912 0.99       0.25498281 0.44      ],[0.58796779 0.92       0.14378707 0.36      ],0.056184486351812835,0.11785373737373728,0.1982883333333333,0.06166925102192444,0.08043459595959601,0.14210384698152045,1.0976206249491616,0.6824950803598375,2.529236381938292,5.061727523803711,0.15740036964416504,0.8608288764953613,32.158295023364666,5.880062416599226,0.18284745544896136
16,"[49.41846063 36.37525146 82.1093541  79.6821     77.         14.4506
 69.5123     26.0808      1.        ]","[18.12597879 68.80055152 87.89359091 79.6821     77.         14.4506
 69.5123     26.0808      1.        ]",[ 3.0401 39.6837 81.592  79.6821 77.     14.4506 69.5123 26.0808  1.    ],[0.95666948 0.8        0.82474765 0.94      ],[0.97208693 0.8        0.94641261 0.99      ],[[0.95802089 0.81       0.92985744 0.96      ]],0.4364461835606247,0.20477278787878783,0.2725480000000001,-0.23167339568183687,0.06777521212121229,-0.16389818356062458,-0.5308177832872634,0.3309776304912682,-0.37552896493104115,60.02725529670715,8.13357925415039,0.2915964126586914,7.38017709313849,205.85731747999253,27.89327612089181
17,"[ 0.90816063 92.26888393 97.84129302 64.9596     48.         10.5784
 27.667      91.9516      0.        ]","[18.17511818 74.76238182 92.93113636 64.9596     48.         10.5784
 27.667      91.9516      0.        ]",[33.3632 77.8095 97.8049 64.9596 48.     10.5784 27.667  91.9516  0.    ],[0.3444594  0.7        0.57020526 0.78      ],[0.35284815 0.84       0.44817214 0.62      ],[0.36782903 0.81       0.41129757 0.63      ],0.03599327896145099,0.16827199999999998,0.192496,0.13227872103854899,0.024224000000000023,0.156502721038549,3.675095041499838,0.14395740230103657,4.348109579184611,6.043612957000732,0.4856221675872803,1.3064892292022705,12.445092832205855,4.625842159212367,0.3717000926856446
18,"[ 0.35511222 83.38027503 92.89609194 52.3071     99.         42.6652
 17.5488     48.0001      0.        ]","[2.77000000e-02 6.86955848e+01 9.89761909e+01 5.23071000e+01
 9.90000000e+01 4.26652000e+01 1.75488000e+01 4.80001000e+01
 0.00000000e+00]",[ 0.2297 43.8556 58.1605 52.3071 99.     42.6652 17.5488 48.0001  0.    ],[0.74470134 0.98       0.41374816 0.56      ],[0.76358529 0.92       0.37571437 0.49      ],[0.68183496 0.86       0.20401289 0.53      ],0.08026248417112436,0.10785308080808076,0.3273786666666666,0.0275905966369564,0.21952558585858584,0.24711618249554224,0.3437545812578093,2.0354132141039236,3.078850412462639,5.9408299922943115,0.20424723625183105,1.225968837738037,29.08646452855517,4.845824632260137,0.16660067529014488
19,"[ 0.5839752  99.40313315 96.99201354 53.8035     82.         66.2934
 71.9251     68.8601      0.        ]","[2.77000000e-02 8.38387212e+01 9.29311364e+01 5.38035000e+01
 8.20000000e+01 6.62934000e+01 7.19251000e+01 6.88601000e+01
 0.00000000e+00]","[ 12.531  100.      94.6988  53.8035  82.      66.2934  71.9251  68.8601
   0.    ]",[0.66432708 0.9        0.35737274 0.51      ],[0.66432708 0.91       0.35737274 0.46      ],[0.66432708 0.91       0.2688776  0.44      ],0.01396276169153643,0.07752614141414138,0.0594406666666667,0.06356337972260495,-0.018085474747474684,0.04547790497513027,4.552350110016852,-0.2332822763725959,3.2570852371344876,5.575294494628906,0.30378127098083496,1.360489845275879,18.352989559322246,4.098005225094755,0.2232881575968209
20,"[ 0.83201861 99.806994   97.60373791 13.7778     43.         21.4291
 43.4365     54.8343      1.        ]","[2.77000e-02 9.89914e+01 4.45707e+01 1.37778e+01 4.30000e+01 2.14291e+01
 4.34365e+01 5.48343e+01 1.00000e+00]",[ 0.     46.8814 98.6386 13.7778 43.     21.4291 43.4365 54.8343  1.    ],[0.97432505 0.26       0.64096166 0.32      ],[0.97311    0.23       0.67420053 0.3       ],[[0.96954917 0.14       0.57130935 0.21      ]],0.011404289003869139,0.18821866666666665,0.1816000000000001,0.1768143776627975,-0.006618666666666551,0.17019571099613096,15.504200007804924,-0.03516477288827118,14.923833562827859,6.117368221282959,0.29134654998779297,1.637199878692627,20.996878876853934,3.736482210203885,0.17795417271863315
21,"[ 0.88933322 90.9284167  97.3344904  46.7198     48.         70.4052
 64.1579     84.1919      0.        ]","[2.77000000e-02 8.38387212e+01 9.79686818e+01 4.67198000e+01
 4.80000000e+01 7.04052000e+01 6.41579000e+01 8.41919000e+01
 0.00000000e+00]",[10.5107 83.6502 55.0854 46.7198 48.     70.4052 64.1579 84.1919  0.    ],[0.55511363 0.97       0.407636   0.61      ],[0.55511363 0.88       0.407636   0.53      ],[0.47289115 1.         0.17378507 0.51      ],0.042088087053968715,0.060734323232323195,0.23925033333333334,0.01864623617835448,0.17851601010101015,0.19716224627936463,0.44302883508211677,2.9392936415565885,4.684514314621794,5.804412364959717,0.19867563247680664,1.7921059131622314,29.215522269130428,3.2388779716248104,0.1108615461941291
22,"[ 0.5241392  99.28719578 98.99433045 44.7422     63.         47.2515
  5.9541     33.7666      0.        ]","[ 7.08502929 98.98185758 92.93113636 44.7422     63.         47.2515
  5.9541     33.7666      0.        ]",[25.292  99.03   96.8485 44.7422 63.     47.2515  5.9541 33.7666  0.    ],[0.51719947 0.84       0.33453655 0.48      ],[0.49173498 0.83       0.25080771 0.44      ],[0.53436283 0.81       0.22903671 0.36      ],0.007475376582643634,0.050573451178451245,0.09804500000000005,0.04309807459580761,0.047471548821548804,0.09056962341735642,5.765338256787349,0.9386654008254804,12.115727203314602,5.777479648590088,0.15157341957092285,1.599475622177124,38.11670717032773,3.6121085988957304,0.09476444496516233
