,nsga3_adaptation,custom_adaptation,anchors_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,nsga3_score,custom_score,anchors_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],nsga3_time,custom_time,anchors_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom,iterations_anchors
0,"[20.46020352 63.44124313 99.91713574 56.0067     39.         77.1984
 84.8851     87.3155      0.        ]","[25.23307475 53.55362727 65.66486667 56.0067     39.         77.1984
 84.8851     87.3155      0.        ]","[ 39.962  100.      99.62    56.0067  39.      77.1984  84.8851  87.3155
   0.    ]",[0.36130341],[0.3415245],[0.3249627],0.19033941549676947,0.3533819360269359,0.1344733333333329,0.16304252053016643,-0.21890860269360302,-0.05586608216343658,0.8565883219964688,-0.6194674384174439,-0.29350769002642424,0.6175742149353027,0.26458024978637695,0.047960519790649414,2.334165968298595,12.876720636703933,5.516625986150397,642
1,"[ 5.89906627 58.46731519 99.94150318 94.602      27.         61.2247
 58.3342     36.4653      0.        ]","[27.27301818 53.54389899 99.9925     94.602      27.         61.2247
 58.3342     36.4653      0.        ]","[ 25.9675  91.2668 100.      94.602   27.      61.2247  58.3342  36.4653
   0.    ]",[0.59813605],[0.59813605],[[0.59813605]],0.15830082633739562,0.2457887306397306,0.11566900000000013,0.087487904302335,-0.13011973063973048,-0.042631826337395484,0.5526686519997502,-0.5293966501273644,-0.2693089311266881,0.5566110610961914,0.12720942497253418,0.11843538284301758,4.375548912483249,4.6997024684250155,1.074082946488604,1002
2,"[41.06865586 53.11576294 99.91325571 55.2701     48.          4.4584
 79.6079     35.6638      0.        ]","[40.27301818 53.55362727 99.9925     55.2701     48.          4.4584
 79.6079     35.6638      0.        ]","[ 47.4905 100.     100.      55.2701  48.       4.4584  79.6079  35.6638
   0.    ]",[0.80292916],[0.80292916],[[0.77088494]],0.2934654573909836,0.2890896363636364,0.15830166666666667,-0.0043758210273472375,-0.1307879696969697,-0.13516379072431695,-0.014910855493010673,-0.4524132076891743,-0.4605781952192023,0.9767181873321533,0.14550304412841797,0.05650901794433594,6.7126993334250935,17.284288824383164,2.574864144192797,1002
3,"[72.83623981 41.68952819 19.76406007 62.7395     41.         27.4842
 66.4937     84.6912      1.        ]","[76.27301818 24.5925404  44.5854404  62.7395     41.         27.4842
 66.4937     84.6912      1.        ]",[66.512  54.082  51.8691 62.7395 41.     27.4842 66.4937 84.6912  1.    ],[0.80401046],[0.80207214],[[0.91220487]],0.7046088385385176,0.6903167912457913,0.5352030000000001,-0.014292047292726373,-0.15511379124579117,-0.16940583853851754,-0.020283661673007946,-0.2246994325110687,-0.24042536691690522,0.859893798828125,0.316861629486084,0.019260168075561523,2.713783301003601,44.64622507210675,16.451654432244407,0
4,"[75.82499815 24.06072356 33.11532027 90.4678     50.         24.2796
 66.3872     53.8746      1.        ]","[80.27301818 30.55362727 65.66486667 90.4678     50.         24.2796
 66.3872     53.8746      1.        ]",[ 1.5347 30.0826 85.1261 90.4678 50.     24.2796 66.3872 53.8746  1.    ],[0.81273262],[0.80663677],[[0.9280976]],0.72882984775163,0.6135150808080807,0.2877533333333334,-0.11531476694354925,-0.3257617474747473,-0.44107651441829654,-0.15821905112597162,-0.5309759412037205,-0.6051844827417198,1.071178913116455,0.2628326416015625,0.01485896110534668,4.075517053701016,72.08975819520883,17.688493814482616,0
5,"[73.09168299 41.9444749  21.98833983 81.4813     59.         17.0169
 50.942      87.7398      1.        ]","[80.04334343 41.54389899 57.5854404  81.4813     59.         17.0169
 50.942      87.7398      1.        ]",[34.6632 31.0703 31.426  81.4813 59.     17.0169 50.942  87.7398  1.    ],[0.8029775],[0.80396933],[[0.85029608]],0.6971962275352948,0.6030466801346801,0.5738896666666666,-0.09414954740061465,-0.02915701346801347,-0.12330656086862812,-0.13504024216173552,-0.048349513277316694,-0.1768606254576813,1.1683695316314697,0.39312219619750977,0.013849258422851562,2.9720263646585487,84.36332805398706,28.385793967773033,0
6,"[ 4.08922012 88.42863658 99.96372517 83.6282     82.         60.1713
 91.3736     87.5405      0.        ]","[27.27301818 53.55362727 65.66486667 83.6282     82.         60.1713
 91.3736     87.5405      0.        ]",[27.735  55.4525 95.927  83.6282 82.     60.1713 91.3736 87.5405  0.    ],[0.59121547],[0.50145506],[0.50145506],0.052322861265754805,0.3601817474747474,0.2545183333333334,0.3078588862089926,-0.105663414141414,0.2021954720675786,5.883831250078932,-0.2933613790321847,3.8643810215309284,0.5537428855895996,0.2366328239440918,0.09324979782104492,2.3400932988080725,5.938274382667124,2.537622916869078,1002
7,"[2.96530656e-03 8.27858509e+01 4.30098667e+01 6.84481000e+01
 9.20000000e+01 9.09833000e+01 4.42826000e+01 6.36043000e+01
 0.00000000e+00]","[3.4000000e-03 5.3543899e+01 9.9992500e+01 6.8448100e+01 9.2000000e+01
 9.0983300e+01 4.4282600e+01 6.3604300e+01 0.0000000e+00]","[ 47.4905 100.     100.      68.4481  92.      90.9833  44.2826  63.6043
   0.    ]",[0.09805313],[0.09243489],[0.06103378],0.2473574922798354,0.15489000336700331,0.15830166666666667,-0.09246748891283207,0.003411663299663359,-0.08905582561316872,-0.3738212578910836,0.022026362098912292,-0.3600288181787512,0.5801694393157959,0.10861706733703613,0.05025935173034668,5.341420584626394,11.543512189105469,2.161131482948535,1002
8,"[ 4.3091394  80.25943427 31.43764141 71.2328      6.          4.1116
 74.4987     25.5534      1.        ]","[27.27301818 53.79683434 49.53579899 71.2328      6.          4.1116
 74.4987     25.5534      1.        ]",[12.0518 70.6066 62.5009 71.2328  6.      4.1116 74.4987 25.5534  1.    ],[0.7435717],[0.71298923],[[0.71298923]],0.308706879055503,0.4131346161616162,0.26314766666666667,0.1044277371061132,-0.1499869494949495,-0.04555921238883631,0.3382747330594403,-0.36304619276026817,-0.14758081364505368,0.5142178535461426,0.29227328300476074,0.0257720947265625,1.7593734475476044,19.952505180580225,11.34068790704559,138
9,"[18.54501631 75.79046117 99.96265885 29.2613     21.         61.9747
 25.8511     16.7073      0.        ]","[27.25304646 53.55362727 99.9925     29.2613     21.         61.9747
 25.8511     16.7073      0.        ]","[ 52.5095  95.2585 100.      29.2613  21.      61.9747  25.8511  16.7073
   0.    ]",[0.53979017],[0.53979017],[0.47241886],0.1426396542927605,0.24568973063973065,0.19083666666666654,0.10305007634697017,-0.05485306397306411,0.048197012373906056,0.7224504073423035,-0.22326152513675224,0.3378935024266407,0.4958682060241699,0.14462804794311523,0.08089756965637207,3.428575667557953,6.129581001388115,1.787792248363586,1002
